episode,total_reward,load_met_rate,unmet_energy,epsilon,avg_loss
1,-98.68139918610109,79.16666666666666,5.091422987413591,1.0,0.0
2,437.98823889566785,79.16666666666666,3.6977891588473035,0.9992,0.0
3,-2823.382096831263,62.5,7.650118589403689,0.99840064,242.18238830566406
4,-3447.1071064192724,66.66666666666666,5.154521808425994,0.9976019194879999,256.7463626861572
5,-2050.858281865416,62.5,7.095356708879578,0.9968038379524095,262.7036368052165
6,-5137.3474094162375,50.0,9.825628876521016,0.9960063948820475,276.96701113382977
7,2821.275801426311,87.5,1.2295432511080964,0.9952095897661418,274.62619654337567
8,-3244.003131395182,62.5,3.61196875592712,0.9944134220943289,266.67908096313477
9,3974.031999462374,91.66666666666666,0.6451717853165029,0.9936178913566535,267.35908699035645
10,-2003.3734340810543,75.0,4.789212516017817,0.9928229970435681,270.6779257456462
11,-4119.257281810777,58.333333333333336,10.251916846674638,0.9920287386459332,274.0994695027669
12,-6473.272910499602,54.166666666666664,12.195208271885875,0.9912351156550164,279.4471855163574
13,2247.899096917894,87.5,0.7756610542707789,0.9904421275624924,271.38595898946124
14,-5548.378772841967,50.0,8.301608557919945,0.9896497738604424,274.8534526824951
15,2803.1433371764847,87.5,1.3247119809796732,0.9888580540413541,254.19647089640299
16,-2833.810665887524,62.5,6.106710338548188,0.988066967598121,239.59671847025552
17,2673.8811781019535,87.5,1.794635385801969,0.9872765140240425,244.08245023091635
18,-2683.0742310560686,70.83333333333334,7.48875710766079,0.9864866928128232,232.8450724283854
19,-1600.445527737758,75.0,3.5331840651077204,0.9856975034585729,232.87725830078125
20,-593.399122477859,75.0,2.105650294511599,0.984908945455806,218.2471466064453
21,-4691.634314176089,66.66666666666666,10.820898472141646,0.9841210182994413,280.51853942871094
22,-3716.0755155515553,62.5,4.2148375708898875,0.9833337214848017,259.3898398081462
23,3756.0484828001895,95.83333333333334,0.5468245642890297,0.9825470545076138,255.68446985880533
24,2667.980465221255,83.33333333333334,3.465215905742225,0.9817610168640077,236.80647214253744
25,-6992.053251785556,45.83333333333333,10.821132394797209,0.9809756080505165,221.83735847473145
26,-619.0526549237402,79.16666666666666,2.769115627428942,0.980190827564076,224.084103902181
27,-291.9134863092843,70.83333333333334,5.5256455930043265,0.9794066749020248,229.41907246907553
28,-6789.246887391935,54.166666666666664,8.79985216596209,0.9786231495621032,229.58552360534668
29,2390.7942891665543,91.66666666666666,1.9763690421017124,0.9778402510424534,229.43951797485352
30,-4143.093155852846,54.166666666666664,4.673784831808823,0.9770579788416195,223.79604148864746
31,-1420.473910103687,66.66666666666666,1.7500522555078466,0.9762763324585462,279.0988597869873
32,-2739.1461497482087,66.66666666666666,4.877322540879696,0.9754953113925793,233.87107721964517
33,143.89558300614306,83.33333333333334,3.1238764378338586,0.9747149151434652,235.50952847798666
34,3939.130201460305,91.66666666666666,0.8043489926984737,0.9739351432113504,251.6697260538737
35,783.33873369607,87.5,4.924823889340585,0.9731559950967813,231.27628389994302
36,-1070.376641007171,75.0,3.815810383794929,0.9723774703007039,218.95111211140951
37,-974.0151626168997,75.0,4.487788772293937,0.9715995683244633,225.32131830851236
38,1954.282842856308,87.5,2.274248073170019,0.9708222886698037,226.36193084716797
39,-6120.148342389266,54.166666666666664,8.586147755380955,0.9700456308388679,225.60451316833496
40,-7406.682780011909,45.83333333333333,12.801569903418223,0.9692695943341968,228.681245803833
41,-7747.2711949187715,45.83333333333333,12.531977904139586,0.9684941786587294,257.8539473215739
42,-5781.087022785488,62.5,13.848303702102605,0.9677193833158024,241.31099065144858
43,-8455.288615705625,41.66666666666667,11.863096252675938,0.9669452078091497,241.12820370992026
44,2552.200356436597,91.66666666666666,1.3645127427045742,0.9661716516429024,239.76266860961914
45,-3458.5676737923827,62.5,7.020876214914347,0.9653987143215881,243.49482663472494
46,-6674.351098779141,50.0,11.671221275914714,0.9646263953501308,235.2866528828939
47,1029.30159213843,79.16666666666666,3.0112080005236637,0.9638546942338507,235.31354395548502
48,-4572.766776793135,58.333333333333336,7.480687895815599,0.9630836104784636,232.40071233113608
49,-1487.2370457641177,75.0,3.905245252140621,0.9623131435900808,234.26426569620767
50,-3988.6103897153002,62.5,6.918335983675995,0.9615432930752087,242.73343340555826
51,3956.146900597463,91.66666666666666,0.7187843102573697,0.9607740584407485,262.55510266621906
52,-186.79859225049137,83.33333333333334,3.0269307397108753,0.9600054391939958,231.12860997517905
53,-5450.159623965422,54.166666666666664,7.764487976375008,0.9592374348426406,240.56301180521646
54,1247.2178551559634,87.5,0.23881852328186381,0.9584700448947664,234.57582219441733
55,-3984.382318652222,50.0,4.788744402962143,0.9577032688588506,237.96948305765787
56,-5545.438318157151,50.0,8.428344091691956,0.9569371062437635,239.21553421020508
57,-5820.271785133718,54.166666666666664,10.465147839068653,0.9561715565587685,233.36749458312988
58,-1088.5950817608712,62.5,5.373719526970181,0.9554066193135214,230.91360791524252
59,-1985.3715124205564,66.66666666666666,8.478915006591723,0.9546422940180707,214.5735206604004
60,-3698.364115933092,54.166666666666664,5.637750138784442,0.9538785801828562,226.79748344421387
61,-216.48433956732072,75.0,3.1685204439932866,0.9531154773187099,255.67144330342612
